line_length_cv,char_entropy,leading_whitespace_ratio,tab_density,sentence_punctuation_rate,paragraph_break_rate,alpha_ratio,line_uniqueness,short_line_ratio,symbol_ratio,delimiter_consistency,json_brace_depth,key_value_ratio,xml_tag_ratio,log_line_ratio,comment_ratio,numeric_field_ratio,repetitive_structure_score,category,sub_type,line_count
0.6934,4.932,0.0,0.0,0.039,0.2593,0.9507,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,artifact,boilerplate,54
0.8045,4.1826,0.1522,0.0,0.0236,0.1522,0.8875,0.8696,0.1522,0.0136,0.0,0.0,0.2174,0.0,0.0,0.0435,0.1732,0.15,artifact,ocr_mixed,46
0.989,5.2758,0.1818,0.0,0.0,0.3182,0.8148,0.6364,0.2273,0.083,0.0,0.004,0.1136,0.0,0.0,0.0,0.0242,0.3,code,dockerfile,44
0.6159,4.7335,0.7143,0.0,0.0,0.0,0.7867,1.0,0.3333,0.1061,0.0,0.0,0.619,1.0,0.0,0.0,0.0,0.3,code,html,21
0.5934,4.9432,0.0,0.0,0.0,0.1224,0.8348,0.8776,0.3878,0.0783,0.0,0.0147,0.6735,0.0,0.0,0.0,0.1048,0.6,code,ini_config,49
0.7779,4.361,0.6486,0.0,0.0,0.1351,0.8279,0.8378,0.2162,0.0771,0.0,0.026,0.3514,0.0,0.0,0.0,0.0175,0.15,code,javascript,37
0.0,4.8412,0.0,0.0,0.0,0.0,0.7339,1.0,0.0,0.158,0.0,0.0333,1.0,0.0,0.0,0.0,0.0,0.0,code,minified_js,1
0.7793,4.4555,0.5938,0.0,0.0,0.2188,0.8128,0.7812,0.125,0.0778,0.0,0.0168,0.4062,0.0,0.0,0.0,0.0,0.3,code,python,32
0.7474,4.6637,0.6471,0.0,0.0379,0.1765,0.8532,0.7882,0.1529,0.0518,0.0,0.009,0.4,0.0,0.0,0.0,0.0103,0.35,code,python_with_docstrings,85
0.7773,4.5424,0.68,0.0,0.0,0.12,0.7892,0.78,0.34,0.0874,0.0,0.0194,0.3,0.1,0.0,0.02,0.0,0.25,code,rust,50
1.0327,5.3706,0.375,0.0,0.0,0.225,0.7544,0.75,0.2,0.1341,0.0,0.0197,0.25,0.0,0.0,0.025,0.0085,0.25,code,shell,40
0.7633,5.4562,0.3111,0.0,0.0036,0.1444,0.7686,0.7889,0.2,0.1089,0.0,0.0342,0.4333,0.0,0.0,0.3,0.0214,0.3,code,shell_with_comments,90
0.7104,5.314,0.24,0.0,0.0,0.12,0.8278,0.92,0.16,0.0682,0.0,0.0025,0.16,0.0,0.0,0.0,0.01,0.25,code,sql,25
0.6444,5.2621,0.377,0.0,0.0296,0.1311,0.8779,0.8852,0.0984,0.0471,0.0,0.0009,0.0984,0.0,0.0,0.2295,0.0033,0.15,code,sql_with_comments,61
0.8387,4.8372,0.0,0.0,0.0,0.1282,0.7493,0.8974,0.2308,0.1032,0.0,0.0511,0.7179,0.0256,0.0,0.0,0.0129,0.45,code,toml_config,39
0.8216,4.8739,0.0,0.0,0.0046,0.16,0.7759,0.86,0.1,0.0819,0.0,0.0392,0.58,0.0,0.0,0.14,0.0046,0.3,code,toml_with_comments,50
0.4554,3.8751,0.7727,0.0,0.0,0.0,0.8804,1.0,0.7273,0.005,0.0,0.0,0.5682,0.0,0.0,0.0,0.0685,0.5,code,yaml_config,44
0.3639,3.8986,0.8378,0.0,0.0,0.0,0.8901,0.9595,0.6081,0.0055,0.0,0.0,0.6216,0.0,0.0,0.0,0.0859,0.6,code,yaml_nested,74
0.1982,3.354,0.0,0.0,0.0,0.0135,0.4694,0.4459,0.9865,0.0136,0.0,0.0,0.0,0.0,0.0,0.0,0.0822,0.9,artifact,ocr_garbage,74
0.9024,5.0003,0.0,0.0,0.0299,0.26,0.8231,0.68,0.1,0.1278,0.0,0.0504,0.08,0.0,0.0,0.0,0.0,0.35,prose,latex,50
0.9401,4.9025,0.0,0.0,0.0394,0.3091,0.8927,0.6909,0.1273,0.0478,0.0,0.0064,0.0545,0.0,0.0,0.1091,0.0039,0.35,prose,markdown,55
0.816,4.8783,0.0,0.0,0.0296,0.2778,0.877,0.7222,0.0556,0.0502,0.0,0.0,0.037,0.0,0.0,0.0926,0.0296,0.3,prose,markdown_with_tables,54
0.4502,4.3343,0.0,0.0,0.0748,0.1667,0.9709,0.9167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,prose,simple,12
0.5296,4.4911,0.0,0.0,0.0637,0.1667,0.9581,0.8667,0.0333,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0225,0.2,prose,technical_with_code,30
0.1032,4.8336,0.0,0.0,0.0,0.0,0.8059,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,structured,csv_data,21
0.1435,4.8676,0.0,0.0,0.0,0.0,0.7753,1.0,0.0,0.0597,1.0,0.0,0.0952,0.0,0.0,0.0,0.0,1.0,structured,csv_with_headers,21
0.5421,5.5968,0.0,0.0,0.0,0.0,0.8197,1.0,0.1,0.1093,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.95,structured,env_config,30
0.7285,4.1156,0.86,0.0,0.0,0.0,0.7519,0.98,0.58,0.0376,0.0,0.0317,0.68,0.0,0.0,0.0,0.0532,0.45,structured,json_object,50
0.0483,4.8185,0.0,0.0,0.0,0.0,0.6716,1.0,0.0,0.038,0.6667,0.0167,1.0,0.0,0.0,0.0,0.0938,0.6667,structured,jsonl_data,18
0.3233,4.7401,0.0,0.0,0.0,0.0,0.8314,1.0,0.0,0.1037,0.0,0.0,1.0,0.0,0.0,0.0,0.1467,1.0,structured,key_value,25
0.1613,5.3431,0.0,0.0,0.0,0.0,0.8623,1.0,0.0,0.0542,0.0,0.0244,0.45,0.0,1.0,0.0,0.0774,0.5,structured,log_lines,20
1.2561,4.8108,0.6786,0.0,0.0157,0.0,0.8446,1.0,0.3571,0.027,0.5714,0.0084,0.6429,0.0,0.0,0.0,0.0394,0.4,structured,mixed_json_prose,28
0.0,4.1048,0.0,0.0,0.0,0.0,0.8301,1.0,0.0,0.0921,1.0,0.0,0.0,0.0,0.0,0.0,0.1356,0.95,structured,pipe_table,22
0.0539,4.6763,0.0,0.0896,0.0,0.0,0.7918,1.0,0.0,0.0324,1.0,0.0,0.0,0.0,0.0,0.0,0.3175,1.0,structured,tsv_data,21
0.0,4.2588,0.0,0.0,0.0,0.0,0.7902,1.0,0.0,0.0858,1.0,0.0,0.0,0.0,0.0,0.0,0.073,0.5833,structured,pipe_table,12
0.0915,4.9074,0.0,0.0856,0.0,0.0,0.8583,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1373,0.625,structured,tsv_data,8
