line_length_cv,char_entropy,leading_whitespace_ratio,tab_density,sentence_punctuation_rate,paragraph_break_rate,alpha_ratio,line_uniqueness,short_line_ratio,symbol_ratio,delimiter_consistency,json_brace_depth,key_value_ratio,xml_tag_ratio,log_line_ratio,comment_ratio,numeric_field_ratio,repetitive_structure_score,category,sub_type,line_count
0.698,5.1423,0.1648,0.0,0.0232,0.4161,1.0839,0.2879,0.0446,0.0,0.0449,0.0,0.0172,0.0,0.0371,0.1291,0.016,0.0166,artifact,boilerplate,54
0.6742,5.0622,0.0,0.0,0.0,0.199,0.9886,0.283,0.1313,0.0899,0.0,0.0,0.1514,0.0,0.0,0.0,0.0,0.4573,artifact,boilerplate,61
0.8192,4.8946,0.2358,0.0,0.0075,0.3354,1.0953,0.0,0.0,0.0,0.0,0.0197,0.0,0.0894,0.2045,0.0,0.0244,0.0358,artifact,boilerplate,63
0.7831,4.8362,0.0,0.0693,0.0,0.1968,0.9912,0.2416,0.0,0.0,0.0324,0.0,0.0,0.0,0.0387,0.0139,0.0,0.1018,artifact,boilerplate,60
0.6755,4.8171,0.063,0.0,0.0,0.2868,1.0338,0.0988,0.0,0.0453,0.0,0.0,0.0,0.0,0.0,0.1608,0.0,0.3617,artifact,boilerplate,58
0.7195,4.9391,0.0,0.0,0.2123,0.2419,0.9651,0.241,0.1556,0.1489,0.1072,0.0,0.0,0.0,0.0,0.0,0.0873,0.2362,artifact,boilerplate,66
0.8249,4.8448,0.0,0.0,0.3033,0.3215,0.9811,0.0239,0.174,0.1461,0.0,0.0339,0.1732,0.0,0.1884,0.0,0.0,0.0677,artifact,boilerplate,55
0.6714,4.8988,0.0365,0.0,0.01,0.0081,1.0957,0.0073,0.1473,0.0,0.2511,0.0059,0.0,0.0,0.0,0.0,0.0,0.2575,artifact,boilerplate,59
0.5934,5.0801,0.0609,0.0,0.0,0.2248,0.9806,0.2608,0.0601,0.0029,0.0,0.0,0.1305,0.0985,0.0,0.0,0.0,0.3157,artifact,boilerplate,66
0.6796,4.8337,0.0365,0.1057,0.0,0.1723,1.1011,0.3464,0.0,0.1911,0.0706,0.0,0.005,0.0,0.0,0.0,0.0,0.2418,artifact,boilerplate,51
0.6973,4.8365,0.0308,0.0,0.0,0.3142,1.0353,0.1263,0.0,0.0,0.1546,0.0,0.0,0.0414,0.0461,0.0,0.0355,0.2438,artifact,boilerplate,54
0.68,4.7878,0.0,0.0,0.0582,0.2298,0.9733,0.0995,0.0764,0.0475,0.0049,0.061,0.0,0.0,0.0,0.0,0.0,0.331,artifact,boilerplate,44
0.6731,4.1129,0.2495,0.0,0.0,0.1488,0.8477,0.8981,0.2219,0.0436,0.0,0.0,0.227,0.0,0.03,0.024,0.1886,0.0747,artifact,ocr_mixed,51
0.7627,3.937,0.0,0.0,0.1622,0.081,1.0986,0.8822,0.0019,0.0877,0.0,0.0,0.0237,0.0,0.0,0.048,0.0185,0.1167,artifact,ocr_mixed,41
0.9943,4.2705,0.2791,0.009,0.0807,0.1048,1.1446,0.7757,0.0362,0.005,0.0,0.0593,0.6171,0.0289,0.0169,0.0,0.2954,0.1227,artifact,ocr_mixed,48
0.5977,4.0782,0.1006,0.1249,0.0,0.0408,0.9698,0.8836,0.1225,0.0541,0.2086,0.0882,0.021,0.0,0.0,0.0,0.0,0.1975,artifact,ocr_mixed,47
0.8934,4.254,0.224,0.0,0.0,0.1596,0.7637,1.1089,0.072,0.0,0.0591,0.0,0.2035,0.0329,0.0847,0.0,0.1021,0.2547,artifact,ocr_mixed,43
1.0039,4.235,0.2365,0.0,0.0108,0.1615,0.6615,0.9208,0.0359,0.0191,0.0892,0.0,0.3675,0.254,0.2541,0.0,0.1498,0.3789,artifact,ocr_mixed,45
